frame;red;green;blue
479;97.6874493927;95.2453441296;78.5325910931
480;97.6755060729;95.2382591093;78.5184210526
481;98.7539225422;95.6820258193;80.385898709
482;98.8085402185;95.7406156902;80.42224429
483;98.0097165992;95.0317813765;79.5078947368
484;98.0305668016;95.2149797571;79.7336032389
485;98.5631497882;93.595109742;80.7356565268
486;98.5600693107;93.5904890258;81.3282633808
487;92.9581387303;86.8424148071;73.5076976302
488;94.2601201771;88.6043643264;74.9209361164
489;98.4151873767;92.7657790927;77.6109467456
490;98.287352071;92.9986439842;77.3874506903
491;99.995543672;95.0447860963;80.0967023173
492;99.6149152542;94.566779661;79.7127683616
493;99.8750826173;94.7453183521;79.8678122935
494;100.110046266;94.7335316149;79.5174047147
495;99.7438863186;94.4466842917;79.0899977969
496;99.148589773;93.4167622105;78.3299701903
497;99.043258427;93.4976404494;78.1333707865
498;99.1542696629;93.5180898876;77.8356179775
499;98.2363128492;93.3836871508;76.4903910615
500;97.6373538179;92.8744554001;75.7855996331
501;97.4034013605;92.6919501134;76.0140589569
502;97.2365079365;92.8359410431;75.6839002268
503;97.1442252879;92.1800250827;75.3320031923
504;96.8890828678;91.6804003724;74.9172486034
505;97.5342403628;92.5081632653;75.5984126984
506;97.8052768069;92.608298568;75.7686323148
507;97.3378472222;91.4024305556;75.472337963
508;97.3575231481;91.4619212963;75.8049768519
509;97.9680018416;91.460174954;76.8250460405
510;97.9004373849;91.6071593002;76.814111418
511;97.9985119048;91.7641941392;77.2155448718
512;97.4967771639;92.0600828729;76.2237569061
513;97.7603009259;91.5832175926;76.9832175926
514;97.6743055556;91.6766203704;76.8738425926
515;97.5953939677;91.848608838;77.099251812
516;97.7878891941;92.5282738095;76.7038690476
517;97.2151300236;91.6553191489;76.2210401891
518;97.5198072176;91.9155989185;76.3263195016
519;96.5543478261;91.4287439614;75.8770531401
520;96.7443242601;91.9398549863;76.3916557708
521;97.2486187845;91.4933941869;76.7273600769
522;97.4295286235;92.1555189844;76.8802162925
523;96.9210144928;91.7258454106;77.0050724638
524;96.575308642;91.3951851852;76.5604938272
525;96.6664197531;91.6849382716;76.750617284
526;96.8149382716;91.6588888889;76.777654321
527;97.0387968079;91.7777777778;76.9957028852
528;97.4869565217;92.0913043478;77.2246376812
529;97.6906077348;92.6390823925;78.5462406918
530;97.905027933;92.7879472245;78.1690241293
531;98.118236715;92.7781400966;78.1561594203
532;98.1378019324;92.784178744;78.1967391304
533;98.5476074812;92.5126305562;78.7433811027
534;98.6170755404;92.5247753218;78.7710711683
535;97.8720049659;92.1889509621;78.3548106766
536;98.2628181254;92.3106145251;78.5887026691
537;98.9465733235;92.8538442643;79.5210022108
538;99.0763312164;93.0626526624;79.7085979482
539;97.6898621042;92.0348569969;77.9480337079
540;97.7316384181;91.9506933744;77.9155110426
541;98.0840143003;92.4006639428;78.5201736466
542;98.054392237;92.3858529111;78.5467313585
543;97.5006493506;92.2719480519;77.7435064935
544;97.703125;92.4466683884;78.0337035124
545;97.398538206;91.5304983389;78.0453156146
546;97.4401328904;91.5505647841;78.2474418605
547;97.3815308255;91.7279258098;77.9844566353
548;97.2832369942;91.5346820809;77.7861271676
549;97.7937467157;91.859432475;78.1586967945
550;97.8185759327;92.0744876511;78.2589332633
551;97.4976215645;92.0726744186;77.9495243129
552;97.5855228586;92.2938780872;78.0673935891
553;97.6960612986;92.0060492002;78.0579378949
554;97.7771205807;92.050544428;78.2296007528
555;99.5254191455;94.5573282856;79.5865332612
556;99.5799080584;94.5320443483;79.5939697134
557;102.522576079;98.4863411182;82.5742392074
558;102.482944091;98.5222929936;82.3367303609
559;102.463230769;99.1709230769;82.0121538462
560;101.979591837;98.9864992151;81.4772370487
561;100.700309147;97.8743407892;80.6823058738
562;100.901618476;97.970358247;80.6963084197
563;99.5518867925;95.7709187859;79.6659146842
564;99.8444399839;96.2209955841;79.6136089924
565;99.5825794235;96.1161371765;79.7713023354
566;99.7323795498;96.353460972;79.1232905533
567;98.9144580909;95.8409825469;78.2596423185
568;100.107609372;96.7115902965;78.5063238648
569;100.000631313;96.9741161616;79.0519781145
570;100.318077325;97.1600835946;79.0798328109
571;98.0026960784;94.7272058824;77.2071078431
