frame;red;green;blue
285;106.742299297;105.01188455;90.6536502547
286;106.800630609;105.061363085;90.7124666505
287;106.9847805;105.220409896;90.7857749212
288;106.80341984;105.326461315;90.3742420568
289;107.065656566;105.54503367;91.0794853295
290;106.98087232;105.334795322;90.5629873294
291;106.841374269;105.210404483;91.2363547758
292;107.027777778;105.520803271;91.4082491582
293;107.279521405;105.361772487;91.5208633959
294;107.06590154;105.299788584;91.4491694352
295;107.11481976;104.998058017;91.5075858721
296;107.39222382;105.289899353;91.9209801102
297;108.079616704;105.749201467;92.821483497
298;108.226851852;105.931610408;92.9382911392
299;107.579785331;105.580739416;92.0458556947
300;107.771735242;105.763148479;92.298986285
301;108.403060337;106.398539384;92.9879441257
302;108.097997266;106.026089024;92.3310156296
303;109.410118842;108.190781124;94.3470058844
304;109.553421022;108.179589247;94.2994692512
305;111.652278428;110.811141304;96.2256479933
306;111.687618147;110.844517958;96.2029510607
307;112.429776423;112.14120935;97.3785569106
308;112.560416667;112.219105691;97.6984247967
309;111.686620544;110.35711773;95.5588062852
310;111.739036116;110.316428236;95.302825985
311;109.669014085;107.947318527;92.2497291441
312;109.920021471;108.326623725;92.6674718196
313;110.199326599;108.378989899;93.138047138
314;110.211323764;108.577086656;93.4944178628
315;109.731161695;108.770277342;93.7435897436
316;109.796637886;108.840463108;93.784733124
317;110.250491763;109.523973445;95.3407917384
318;109.826908541;109.245779793;94.5439027463
319;109.533506399;109.732250664;94.8691741125
320;109.096896885;109.9179546;94.6875754649
321;108.458660152;108.988877459;93.8708370837
322;108.461390826;108.994370162;93.8897703282
323;103.80795756;103.186030062;86.5879752431
324;100.874532225;100.088669439;82.9865904366
325;100.123178506;98.8635018215;81.8006602914
326;100.035673055;98.4714846456;81.5015008081
327;104.953606334;104.686626253;86.3934182853
328;105.081776568;104.537795373;86.3399727824
329;99.0253623188;94.7664251208;76.9531400966
330;98.3177257525;95.342570473;77.0348781653
331;92.5831280788;88.9657224959;70.2731937603
332;90.7780725022;87.7365163572;69.1114058355
333;92.3647540984;88.9933795712;71.9271752837
334;92.3292875158;88.9940100883;72.1147540984
335;92.3307027993;88.5877010125;72.2910958904
336;92.076161919;88.6029985007;72.1535232384
337;94.7315541601;91.9835164835;75.4788069074
338;94.8836996337;92.0927524856;75.2149398221
339;95.7992980632;93.162355388;75.5923566879
340;95.2070063694;92.8528397028;74.3010881104
341;96.2994531146;93.2973189276;75.6338535414
342;96.3410697612;93.2630385488;75.9124983327
343;97.9896153846;94.7847435897;78.6519230769
344;98.1392307692;94.8446153846;78.7938461538
345;99.4185806452;95.8843870968;79.9401290323
346;99.4298089172;96.1103184713;80.2012738854
347;101.046189659;97.6291350159;81.6842685616
348;100.770719603;97.3200992556;81.1746898263
349;102.161777237;98.2794887401;82.4769324407
350;102.205356056;98.2118076689;82.4635423007
351;104.140623291;101.054346638;85.646254784
352;104.272287035;100.927801013;85.4664318732
353;104.638636364;101.738311688;85.6643939394
354;104.39379085;101.650326797;85.7279956427
355;106.162990196;103.424734477;88.5036764706
356;106.060457516;103.448018791;88.3886846405
357;105.88410596;103.390521523;88.465852649
358;105.858340232;103.383588576;88.4214610927
359;106.846053293;104.016289593;89.4927099045
360;107.060308972;104.358783918;89.7313329372
361;106.224248599;103.766887417;88.4118186449
362;106.446819185;104.092514549;88.6438892234
363;106.169677926;103.453652789;88.5745286724
364;105.898724083;103.035486443;88.0861244019
365;108.317476383;105.904183536;91.7594466937
366;108.215334008;105.914726721;91.663377193
367;110.571418318;108.484137238;95.8410134941
368;110.624605225;108.591300603;95.9697100201
369;110.332834225;108.352299465;96.0016399287
370;110.317943262;108.381631206;96.0240425532
371;108.388738128;105.483887381;92.9677747626
372;108.376526459;105.612957938;92.7539009498
373;106.668907718;103.843893903;89.7072204826
374;106.404496487;103.537892272;89.3645901639
375;105.820809249;102.890366089;88.2221579961
376;105.779865125;102.877456647;88.0740847784
377;106.325552388;103.826443336;89.5153243051
378;105.377024482;102.702448211;88.3585687382
379;105.741311709;103.670646944;89.5343967207
380;105.133683543;103.485372702;88.716058328
381;107.369558458;105.99471393;91.4211753731
382;107.610457921;105.914294554;91.7973391089
383;107.294122269;105.604196134;91.4358793022
384;107.233144743;105.564906491;91.4036617948
385;106.160392125;104.091028915;89.9187741989
386;106.345274761;104.437996434;90.3913113957
387;107.050268308;105.1328125;91.1137152778
388;107.039535985;105.142518939;91.0451388889
389;106.895912247;104.791508838;90.7987689394
390;106.859690657;104.805713384;90.6809501263
391;107.253410533;104.473905457;90.7824397208
392;107.438812964;104.834673955;90.7113627489
393;107.529843893;104.940006122;91.1212121212
394;107.553520277;105.443012212;91.0332428765
395;107.833699312;105.452495974;91.9194847021
396;107.749451032;105.424974381;92.0811740594
397;107.416252073;105.357078245;91.1955374642
398;107.478441128;105.460952812;91.2807930047
399;107.350633766;105.029400735;91.5691142279
400;106.692492312;105.542338558;90.8261456536
401;106.744726679;105.315879382;91.2319518717
402;107.08044733;106.018975469;91.5274891775
403;107.408439255;105.176248892;91.4898758498
404;107.563602941;105.243897059;91.8465441176
405;107.596376812;105.537246377;91.8955072464
406;107.741357143;105.933928571;92.0867857143
407;107.521302163;105.482994684;91.5711892797
408;107.493336246;105.583133057;91.3049304493
409;107.57839196;105.534458004;92.1936109117
410;107.625197416;105.458435032;92.4827709978
411;107.824899144;105.632174959;93.0559133697
412;107.768773445;105.678038078;92.8529973813
413;108.490922741;106.352784603;93.4775457275
414;108.591318591;106.40977341;93.5741195741
415;108.649427694;105.893704634;93.4072445561
416;108.610203797;105.877093802;93.2295505304
417;108.660669256;106.474408778;93.4062563893
418;108.911590695;106.767244857;93.9324996638
419;108.796180556;106.139097222;93.3624305556
420;108.703657175;105.983668342;93.2667504188
421;107.534401991;105.169594496;91.544503001
422;107.770543662;105.131464724;91.9780769514
423;108.283405483;105.413564214;92.6401154401
424;108.241956522;105.355;92.3199275362
425;107.899565217;105.380144928;92.3737681159
426;108.2655;105.702928571;92.8697857143
427;108.720069444;106.041319444;93.4585416667
428;108.500422535;105.808169014;93.1653521127
429;108.681176151;106.623047671;93.2854135543
430;108.548908928;106.398981207;93.1116541612
431;109.312258518;107.242992624;93.9094485423
432;109.258728486;107.340920267;94.1360730594
433;110.925491656;109.848253614;96.6359575656
434;111.007962963;109.901790123;96.792037037
435;111.324706694;110.29899931;97.4357602945
436;111.415228893;110.369162641;97.6116287095
437;110.589438339;109.126129426;95.8990842491
438;110.533186112;109.145442277;95.7293583609
439;109.31961275;108.079096417;94.3243545838
440;108.55756059;108.347471022;93.6386986301
441;108.360385615;107.891494599;93.195337071
442;108.091649413;107.623188406;92.8995169082
443;109.231830065;108.099215686;94.0884313725
444;109.165010599;107.875927398;93.9250132485
445;108.82781924;107.886701534;94.9472292413
446;108.71657754;108.061996827;94.6136216724
447;111.805113636;112.093100649;101.064529221
448;111.628125;112.092897727;100.951988636
449;110.879520669;111.292900556;100.101211259
450;110.990391156;111.377721088;100.481845238
451;111.784510269;112.372391785;100.864127322
452;111.610123967;112.334834711;100.588884298
453;113.2329806;114.104673721;102.882010582
454;113.119375574;114.277755914;102.767676768
455;115.656242533;118.021714456;108.685872162
456;115.637903226;118.018189964;108.579121864
457;115.760070948;118.395713083;109.288690476
458;115.896691466;118.261295591;109.388919131
459;114.141450739;116.746632997;107.43972332
460;113.694321859;116.894969109;107.252500736
461;110.695873786;114.021116505;103.087912621
462;111.06820148;113.858069788;103.537777564
463;110.876041565;113.33619253;103.416772865
464;110.759925498;113.467307127;103.258700127
465;108.798809524;111.032407407;99.8304232804
466;108.99007659;110.836630037;99.9935397935
467;111.646656327;113.815938327;104.023446766
468;111.723565368;113.77315026;103.935589818
469;111.631623176;114.060283061;103.685316232
470;111.989206066;113.903211418;104.071900089
471;111.853956522;114.020956522;103.771695652
472;111.856153576;114.001928471;103.593618513
473;110.764849291;111.915558511;101.13685727
474;112.275633863;114.089299527;103.950494199
475;112.282397004;114.212775697;103.949563046
476;112.089098138;114.147394852;103.704205901
477;112.180710432;113.639073741;103.28817446
478;112.460757315;114.011187608;103.763425129
479;111.900528958;113.495024207;102.738793258
480;111.71732114;113.515868747;102.410077102
481;112.194301209;113.622555121;102.905894381
482;112.16945588;113.59396814;102.805664936
483;111.694768519;113.07662037;102.085509259
484;111.473518519;113.126481481;101.927962963
485;111.886147186;112.634487734;102.576767677
486;111.856821983;112.635125448;102.864755078
487;108.372679739;106.949738562;95.0818300654
488;108.230460526;106.888092105;94.8363815789
489;110.106709957;108.417316017;96.3859307359
490;109.978896104;108.525;96.2739177489
491;106.275027579;103.910024821;90.4075427468
492;106.244897959;103.906646442;90.3378378378
493;106.440169218;104.014705882;89.9510475423
494;106.653572388;104.066948697;89.7032634972
495;107.70036855;105.476781327;91.2678132678
496;107.833757576;105.658121212;91.4112121212
497;108.262381454;106.351715256;92.1917808219
498;108.279581275;106.387908727;91.8787344154
499;107.025054264;105.324589147;89.984496124
500;106.972901235;105.378209877;89.9662345679
501;106.436635871;104.838611023;89.2941064033
502;106.287034087;104.91404906;89.0302007009
503;106.606718868;104.75599899;89.3528668856
504;106.82635514;105.022866044;89.7168224299
505;106.916461295;104.975860979;89.8364612954
506;107.425876011;105.617128155;90.4791717716
507;107.169968847;104.930903427;90.1829283489
508;106.962377871;104.59554625;90.0142748382
509;107.717106918;104.728553459;91.0622641509
510;107.686981132;104.862830189;90.9678616352
511;108.165336236;105.54934688;92.1367924528
512;107.659703504;105.664849302;91.3445846606
513;108.294871795;105.755865989;92.3993710692
514;108.476517213;106.234827872;92.7408020821
515;108.115785623;105.910066459;92.3436375831
516;108.177510185;106.422537743;92.2726455787
517;108.246008708;106.359941945;92.160619255
518;108.365171953;106.336978977;92.0737635193
519;107.687768372;106.30916452;91.8551098025
520;107.388583639;106.471855922;91.5751526252
521;108.6302369;107.161220679;93.3927529467
522;108.907325131;107.739861016;93.9286283892
523;107.797606027;106.503888686;92.3939117754
524;107.699173654;106.567322882;92.146980192
525;107.993429777;106.88915009;92.5777576854
526;108.111332128;106.831886679;92.7081977095
527;107.671934022;106.156824477;91.7899143792
528;107.895429363;106.091790481;91.8560186351
529;107.626730159;106.103428571;91.5920634921
530;108.284065934;106.832478632;92.3585470085
531;108.479020979;106.95074224;92.7468408784
532;108.56993007;106.956876457;92.8308796467
533;108.485252988;106.220315281;92.3591406051
534;108.513221459;106.234680905;92.2944317315
535;108.293279536;106.441810617;92.2908838734
